match_id,tour,title,surface,round,winner,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_odds,player1_H2H,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_odds,player2_H2H,player2_elo
1967297,atp,Washington,hard,2. round,1,Ricardas Berankis,Lithuania,175,77,31,86,50,13,13,6,4,541,341,230,147,-1.34,2.51,1,1715,Miomir Kecmanovic,Serbia,183,75,21,59,38,12,17,6,7,203,129,86,55,-7.74,1.60,0,1719
1967307,atp,Washington,hard,2. round,1,Kei Nishikori,Japan,178,73,31,67,4,20,14,9,6,569,258,282,130,5.09,1.53,1,1831,Alexander Bublik,Kazakhstan,198,77,24,39,37,26,20,11,8,267,178,114,71,5.92,2.71,0,1798
1967954,atp,Washington,hard,2. round,1,Steve Johnson,USA,188,86,31,81,21,8,10,5,5,343,261,217,153,3.52,2.75,3,1682,Alex De Minaur,Australia,183,69,22,18,15,20,15,7,6,229,127,107,54,-6.96,1.51,2,1844
1965906,atp,Washington,hard,1. round,2,Nick Kyrgios,Australia,193,85,26,77,13,7,5,5,4,257,142,157,85,-0.5,1.48,0,-,Mackenzie McDonald,USA,178,73,26,107,57,34,17,9,7,239,166,158,105,5.38,2.84,1,1705
1967951,atp,Washington,hard,2. round,2,Daniel Evans,Great Britain,175,75,31,27,25,18,14,6,5,533,319,229,125,9.84,2.37,0,1833,Brandon Nakashima,USA,185,77,20,89,89,31,17,14,5,112,59,71,33,0.86,1.66,1,1722
1967303,atp,Washington,hard,2. round,2,Frances Tiafoe,USA,188,86,23,53,29,21,17,8,7,252,184,109,86,-0.28,1.81,0,1789,Jenson Brooksby,USA,188,82,20,130,126,36,7,20,4,112,53,75,38,15.03,2.12,1,1824
1967950,atp,Washington,hard,2. round,1,Denis Kudla,USA,180,79,28,103,53,28,18,11,6,438,318,192,151,2.34,3.39,3,1674,Harry Fritz Taylor,USA,193,86,23,42,24,20,14,14,8,255,176,161,93,1.19,1.37,1,-
1967957,atp,Washington,hard,2. round,1,John Millman,Australia,183,79,32,43,33,12,17,3,5,433,287,255,152,-2.86,1.71,1,1714,Elias Ymer,Sweden,183,79,25,168,105,27,18,7,5,292,219,49,54,5.34,2.27,0,1579
1967298,atp,Washington,hard,2. round,1,Reilly Opelka,USA,211,102,23,36,31,10,13,4,6,188,145,84,71,-2.06,1.40,1,1757,Elahi Galan Daniel,Colombia,191,72,25,113,103,24,21,5,5,277,216,78,67,0.89,3.24,0,-
1967949,atp,Washington,hard,2. round,1,Lloyd Harris,RSA,193,80,24,50,50,19,14,13,5,300,145,224,80,5.98,1.48,1,1807,Tennys Sandgren,USA,188,88,30,83,41,7,16,3,6,401,278,220,150,-9.47,2.87,0,1632
