match_id,tour,title,surface,round,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_odds,player1_H2H,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_odds,player2_H2H,player2_elo
1968574,atp,Washington,hard,semifinal,2,,Jenson Brooksby,USA,188,82,20,130,126,38,8,22,5,114,54,77,39,15.8,2.43,0,1824,Jannik Sinner,Italy,188,76,19,24,17,28,16,16,6,149,83,43,26,-3.53,1.63,1,1910
1968619,atp,Toronto - Masters,hard,Qualification - 1. round,2,,Liam Draxl,Canada,-,-,19,775,559,6,5,0,4,83,42,48,18,-1.12,5.07,0,-,Tommy Paul,USA,185,82,24,55,50,15,15,4,7,286,173,141,93,-5.15,1.18,1,1765
1968907,atp,Montreal,hard,1. round,2,,Johanna Konta,Great Britain,180,70,30,41,4,8,7,2,4,426,258,209,118,-1.69,-,6,1813,Shuai Zhang,China,177,66,32,51,23,12,15,2,3,517,358,373,225,-3.62,-,1,1762
1968615,atp,Toronto - Masters,hard,Qualification - 1. round,1,,Peter Polansky,Canada,183,80,33,246,110,13,18,12,11,547,423,314,223,4.66,4.45,1,1411,Dominik Koepfer,Germany,180,79,27,57,50,20,19,6,6,229,149,109,64,-0.7,1.22,0,1717
1968613,atp,Toronto - Masters,hard,Qualification - 1. round,1,,Emil Ruusuvuori,Finland,188,79,22,69,69,19,18,14,7,183,92,75,27,-0.79,1.11,3,1702,Steven Diez,Canada,175,76,30,193,134,16,22,3,3,564,391,183,123,-6.85,6.56,0,1481
1968618,atp,Toronto - Masters,hard,Qualification - 1. round,2,,Marcos Giron,USA,180,77,28,64,64,17,16,5,6,332,198,256,140,6.1,1.30,1,1748,Brayden Schnur,Canada,193,84,26,250,92,17,21,4,7,235,181,128,107,6.83,3.62,2,1494
1968616,atp,Toronto - Masters,hard,Qualification - 1. round,1,,James Duckworth,Australia,183,82,29,80,71,18,15,7,5,361,226,205,127,7.96,1.68,4,1640,Illya Marchenko,Ukraine,185,82,33,157,49,28,20,3,5,544,387,218,149,4.22,2.22,0,1593
1968614,atp,Toronto - Masters,hard,Qualification - 1. round,2,,Alexei Popyrin,Australia,196,78,22,72,61,20,17,6,7,175,133,89,66,3.34,1.45,0,1726,Liam Broady,Great Britain,183,78,27,143,137,29,16,15,6,424,299,203,122,10.21,2.79,1,1604
1968617,atp,Toronto - Masters,hard,Qualification - 1. round,1,,Frances Tiafoe,USA,188,86,23,53,29,22,17,9,7,253,184,110,86,0.05,1.30,1,1789,John Wolf Jeffrey,USA,183,79,22,151,120,1,4,1,4,79,51,42,30,-2.51,3.62,0,-
1968620,atp,Toronto - Masters,hard,Qualification - 1. round,1,,Ricardas Berankis,Lithuania,175,77,31,86,50,14,14,7,5,542,342,231,148,-1.85,1.51,2,1715,Norbert Gombos,Slovakia,193,85,30,108,80,15,21,0,6,498,351,93,76,-7.17,2.60,1,1630
1968622,atp,Toronto - Masters,hard,Qualification - 1. round,2,,Maxime Cressy,USA,201,88,24,152,149,15,22,7,7,139,94,77,50,-7.46,1.87,0,1501,Feliciano Lopez,Spain,188,88,39,92,12,12,17,5,6,613,562,260,231,-5.12,1.95,1,1690
1968928,atp,Cordenons challenger,clay,final,2,,Martin Etcheverry Tomas,Argentina,196,82,22,148,148,50,20,49,18,210,103,187,88,8.24,-,2,-,Francisco Cerundolo,Argentina,185,78,22,119,112,28,15,25,13,189,74,178,68,-3.48,-,3,1612
1968573,wta,Montreal,hard,Qualification - 1. round,2,,Raphaelle Lacasse,Canada,-,-,20,748,729,11,14,11,11,41,41,20,16,-8.59,13.22,0,-,Christina McHale,USA,170,62,29,101,24,7,18,2,7,382,329,241,200,-8.74,1.02,1,-
1968563,wta,Montreal,hard,Qualification - 1. round,1,,Polona Hercog,Slovenia,185,70,30,85,35,10,13,2,4,454,303,114,133,-4.94,1.80,2,1711,Harmony Tan,France,-,-,23,142,130,20,13,2,2,251,204,63,51,3.14,2.01,0,1599
1968572,wta,Montreal,hard,Qualification - 1. round,1,,Harriet Dart,Great Britain,172,58,25,169,121,14,15,5,6,248,179,137,92,-3.03,4.11,1,1558,Bernarda Pera,USA,175,80,26,82,59,16,17,3,7,347,195,80,72,-5.38,1.24,0,1681
1968399,atp,Washington,hard,quarterfinal,2,,Lloyd Harris,RSA,193,80,24,50,50,20,15,14,6,301,146,225,81,8.2,2.42,1,1807,Kei Nishikori,Japan,178,73,31,67,4,22,14,11,6,571,258,284,130,6.65,1.64,1,1831
1968624,atp,Toronto - Masters,hard,Qualification - 1. round,1,,Elahi Galan Daniel,Colombia,191,72,25,113,103,25,21,6,5,278,216,79,67,2.06,2.21,2,-,Benjamin Bonzi,France,185,76,25,95,95,40,20,12,4,331,192,131,57,0.74,1.68,0,1638
1968569,wta,Montreal,hard,Qualification - 1. round,1,,Kristie Ahn,USA,-,-,29,138,87,6,13,2,3,242,179,180,120,-5.13,1.24,2,1535,Nicole Melichar,USA,-,-,28,1121,400,0,1,0,1,170,150,111,82,0,4.07,0,-
