match_id,time_stamp,title,tour,round,surface,predict,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1973792,2021-08-25-02-05,Cleveland WTA,wta,round of 16,hard,1.12,2,-1.0,Linda Fruhvirtova,Czech Republic,-,-,16,376,355,20,5,11,2,42,29,18,5,6.51,0,-,4.69,Magda Linette,Poland,171,59,29,51,33,11,13,4,5,411,296,162,123,2.48,0,1747,1.23
1973705,2021-08-25-02-05,Chicago 2 WTA,wta,round of 16,hard,1.26,2,-1.0,Ana Bogdan,Romania,171,59,28,106,59,14,12,7,4,353,220,152,85,0.89,0,1689,1.44,Varvara Gracheva,Russia,-,-,21,88,86,13,20,6,7,162,91,33,29,-7.25,0,1536,3.04
1973733,2021-08-25-03-30,Chicago 2 WTA,wta,round of 16,hard,1.28,2,-1.0,Francoise Abanda,Canada,178,66,24,361,111,3,3,3,3,189,135,96,68,-0.39,0,-,2.91,Kristina Mladenovic,France,184,60,28,57,10,18,23,6,10,386,336,140,165,-4.07,0,1720,1.47
1973255,2021-08-25-02-05,Chicago 2 WTA,wta,round of 16,hard,1.71,1,-1.0,Marta Kostyuk,Ukraine,171,60,19,56,56,19,11,6,4,129,63,49,22,0.84,0,1803,1.69,Kaia Kanepi,Estonia,181,74,36,70,15,16,9,10,4,532,305,175,128,2.61,0,1798,2.3
1973734,2021-08-25-04-10,Cleveland WTA,wta,round of 16,hard,1.34,1,1.17,Aliaksandra Sasnovich,Belarus,174,60,27,99,30,18,15,6,5,340,218,121,82,2.03,0,1711,2.17,Nadia Podoroska,Argentina,170,60,24,37,36,17,15,10,10,315,167,92,58,2.79,0,1748,1.77
1973937,2021-08-25-07-10,Chicago 2 WTA,wta,round of 16,hard,1.41,1,0.28,Elina Svitolina,Ukraine,174,60,26,6,3,27,16,19,9,445,227,247,109,1.47,0,1962,1.28,Fiona Ferro,France,170,56,24,80,39,14,15,6,6,242,188,49,41,-1.77,0,1729,4.13
1973933,2021-08-25-06-35,Winston Salem,atp,2. round,hard,1.74,1,-1.0,Daniel Evans,Great Britain,175,75,31,27,25,18,16,6,7,533,321,229,127,7.84,1,1808,1.43,Lucas Pouille,France,185,84,27,133,10,10,16,3,0,316,226,92,75,-8.96,0,1673,3.05
1973928,2021-08-25-06-35,Winston Salem,atp,2. round,hard,1.33,1,0.9,Emil Ruusuvuori,Finland,188,79,22,76,69,21,20,16,9,185,94,77,29,-1.22,0,1732,1.9,Alexander Bublik,Kazakhstan,198,77,24,37,37,28,22,13,10,269,180,116,73,5.27,0,1793,2.0
1973934,2021-08-25-07-45,Winston Salem,atp,2. round,hard,1.57,2,0.25,Yosuke Watanuki,Japan,180,63,23,255,171,11,10,5,5,133,89,85,52,5.31,0,1540,4.41,Marton Fucsovics,Hungary,188,82,29,42,31,23,14,9,5,417,293,113,76,5.37,0,1874,1.25
1973286,2021-08-25-08-05,Winston Salem,atp,2. round,hard,1.51,1,-1.0,Mikael Ymer,Sweden,183,75,22,90,67,18,14,5,3,214,114,40,22,5.07,0,1733,1.79,Albert Ramos-Vinolas,Spain,188,76,33,48,17,22,21,2,5,683,509,93,102,-0.6,1,1691,2.15
1973927,2021-08-25-06-35,Winston Salem,atp,2. round,hard,1.69,1,-1.0,Ilya Ivashka,Belarus,193,84,27,63,63,30,16,7,5,320,201,170,97,3.05,0,1798,2.07,Marin Cilic,Croatia,198,89,32,36,3,22,15,6,7,653,348,247,136,-1.51,1,1818,1.85
1973963,2021-08-25-05-10,Winston Salem,atp,2. round,hard,1.66,1,-1.0,Pierre-Hugues Herbert,France,188,75,30,104,36,12,14,3,5,431,306,114,91,-0.71,0,-,1.48,Federico Coria,Argentina,180,73,29,61,61,32,22,2,4,515,313,8,16,7.34,0,1616,2.89
1973284,2021-08-25-05-10,Winston Salem,atp,2. round,hard,2.0,1,-1.0,Benoit Paire,France,196,80,32,49,18,12,26,5,9,542,438,134,125,-5.78,3,1656,1.68,Gilles Simon,France,183,70,36,103,6,4,16,2,3,746,522,255,183,-10.05,6,1660,2.33
1973932,2021-08-25-06-10,Winston Salem,atp,2. round,hard,1.84,1,-1.0,Jan-Lennard Struff,Germany,193,92,31,52,29,21,21,6,8,546,384,67,72,1.64,0,1764,1.44,Gianluca Mager,Italy,188,77,26,70,70,26,20,3,4,361,249,30,32,3.61,1,1631,3.01
1973281,2021-08-25-05-10,Winston Salem,atp,2. round,hard,1.17,1,0.25,Pablo Carreno-Busta,Spain,188,78,30,12,10,30,11,11,5,550,292,150,76,7.26,1,1959,1.25,Woo Kwon Soon,South Korea,180,72,23,74,69,20,16,2,6,234,143,171,101,1.35,0,1701,4.45
