match_id,time_stamp,title,tour,round,surface,winner,prediction_roi,predict,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1978110,2021-09-09-01-10,Karlsruhe,wta,1. round,clay,1,0.0,0.0,Tatiana Maria,Germany,172,62,34,209,46,2,5,1,2,610,449,237,181,-1.92,2,-,2.53,Katarina Zavatska,Ukraine,172,63,21,143,103,12,13,7,6,189,126,100,55,-0.75,0,1541,1.56
1978403,2021-09-09-09-00,US Open,wta,"quarterfinal,",hard,2,-1.0,1.13,Karolina Pliskova,Czech Republic,186,72,29,4,1,34,16,20,9,612,329,289,145,2.98,1,1972,1.75,Maria Sakkari,Greece,172,62,26,18,18,30,14,20,9,371,245,181,120,6.11,1,1968,2.18
1978118,2021-09-08-22-30,Karlsruhe,wta,1. round,clay,2,0.0,0.0,Clara Burel,France,-,-,20,92,91,31,16,14,6,81,53,39,27,0.13,1,1727,1.76,Adina Cristian Jaqueline,Romania,-,-,23,142,140,22,19,12,11,225,156,112,79,1.92,0,-,2.16
1978111,2021-09-08-23-25,Karlsruhe,wta,1. round,clay,1,-1.0,1.56,Rebecca Sramkova,Slovakia,179,68,24,187,111,29,20,13,9,309,192,190,101,4.91,0,1551,3.13,Kaja Juvan,Slovenia,170,58,20,109,91,16,14,2,6,153,71,98,33,-2.36,1,1617,1.41
1978430,2021-09-08-21-15,Karlsruhe,wta,1. round,clay,2,-1.0,1.0,Tamara Korpatsch,Germany,170,56,26,153,107,13,14,12,9,306,201,230,115,-4.04,2,1534,1.79,Tereza Mrdeza,Croatia,173,65,30,236,150,27,22,22,14,444,298,339,191,-2.08,0,1427,2.13
1978348,2021-09-09-02-00,US Open,wta,"quarterfinal,",hard,1,0.0,0.0,Emma Raducanu,Great Britain,-,-,18,150,150,20,6,15,3,88,26,51,10,10.8,0,1564,2.3,Belinda Bencic,Switzerland,175,63,24,12,4,30,15,20,7,335,176,161,86,9.07,0,1915,1.68
1978109,2021-09-08-21-55,Karlsruhe,wta,1. round,clay,2,0.0,0.0,Maddison Inglis,Australia,171,59,23,144,112,9,15,4,4,191,121,17,14,-4.66,0,1432,3.37,Katarzyna Kawa,Poland,-,-,28,164,112,9,17,4,8,360,262,248,168,-3.58,0,1520,1.36
1978114,2021-09-08-20-30,Karlsruhe,wta,1. round,clay,1,0.0,0.0,Anna Bondar,Hungary,-,-,24,199,177,40,22,30,14,281,139,216,98,-0.45,1,1483,3.06,Anna Schmiedlova Karolina,Slovakia,-,-,26,93,26,34,18,20,10,352,229,183,89,2.64,0,-,1.42
1978636,2021-09-09-18-00,Karlsruhe,wta,round of 16,clay,2,0.0,0.0,Grace Min,USA,163,64,27,165,97,19,15,10,8,344,250,157,81,1.07,1,1487,2.84,Martina Trevisan,Italy,-,-,27,106,83,10,21,8,9,256,147,210,96,-13.68,0,1547,1.47
1978350,2021-09-09-11-00,US Open,atp,"quarterfinal,",hard,1,0.12,1.08,Novak Djokovic,Serbia,187,80,34,1,1,43,5,18,2,1117,237,528,97,3.45,3,2128,1.12,Matteo Berrettini,Italy,196,95,25,8,8,37,8,13,3,288,135,113,52,5.07,0,1961,7.78
1978678,2021-09-09-18-00,Karlsruhe,wta,round of 16,clay,2,0.0,0.0,Magdalena Frech,Poland,-,-,23,123,115,30,15,16,7,324,197,141,88,2.63,0,1638,1.32,Anna Bondar,Hungary,-,-,24,199,177,41,22,31,14,282,139,217,98,1.46,0,1483,3.59
1978671,2021-09-09-19-30,Karlsruhe,wta,round of 16,clay,1,0.33,1.0,Maryna Zanevska,Belgium,175,59,28,113,105,37,14,24,6,443,250,219,119,4.25,2,1632,1.33,Tereza Mrdeza,Croatia,173,65,30,236,150,28,22,23,14,445,298,340,191,-1.0,0,1427,3.54
