match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
1997862,2021-11-05-00-05,Bergamo challenger,atp,round of 16,indoors,1,1.0,0.16,Alex Molcan,Slovakia,178,73,23,114,112,56,22,3,3,201,117,18,21,13.89,1,-,1.16,6,Nerman Fatic,Bosnia and Herzeg.,191,88,27,328,316,31,21,3,1,302,210,9,15,-0.22,0,-,5.30,7
1997565,2021-11-05-00-00,Guayaquil challenger,atp,round of 16,clay,2,2.0,0.2,Nicolas Alvarez,Peru,185,80,25,389,295,21,24,18,19,127,88,92,65,-5.63,0,1318,4.70,6,Facundo Bagnis,Argentina,183,82,31,79,55,35,21,32,14,573,391,542,337,4.04,1,1696,1.20,5
1997467,2021-11-05-01-05,Midland WTA,wta,round of 16,indoors,2,0.0,0,Katarzyna Kawa,Poland,-,-,28,159,112,16,24,2,2,367,269,25,36,-5.77,0,-,2.27,5,Robin Anderson,USA,-,-,28,214,159,25,19,1,0,212,145,30,20,-1.3,1,-,1.70,7
1997544,2021-11-05-00-45,Buenos Aires WTA,wta,round of 16,clay,1,1.0,0.24,Mayar Sherif,Egypt,-,-,25,64,64,35,21,24,9,194,85,117,40,-2.85,0,1696,1.24,8,Katharina Gerlach,Germany,175,58,23,243,223,36,27,32,20,202,165,180,128,-2.42,0,1280,4.49,7
1997704,2021-11-05-00-00,Buenos Aires WTA,wta,round of 16,clay,2,2.0,0.55,Alves Carolina Meligeni,Brazil,-,-,25,281,281,44,28,33,18,291,213,261,177,1.72,0,-,2.61,7,Maria Bara Irina,Romania,164,80,26,138,112,34,23,32,14,349,229,307,169,-3.25,0,-,1.55,5
1997695,2021-11-05-00-35,Eckental challenger,atp,round of 16,indoors,1,1.0,2.05,Ramkumar Ramanathan,India,188,80,26,187,111,36,28,5,6,415,322,36,37,4.45,0,-,3.05,3,Maximilian Marterer,Germany,191,84,26,199,45,29,27,7,6,319,205,94,51,-12.54,1,-,1.39,5
1997844,2021-11-05-01-25,Paris - Masters,atp,round of 16,indoors,2,2.0,0.38,Grigor Dimitrov,Bulgaria,191,81,30,30,3,24,17,2,1,518,311,92,58,5.47,1,-,3.35,7,Alexander Zverev,Germany,198,90,24,4,3,53,13,7,1,400,209,70,36,7.48,2,-,1.38,9
1997549,2021-11-05-02-50,Guayaquil challenger,atp,round of 16,clay,2,1.0,-1,Alejandro Gonzalez,Colombia,191,83,32,444,70,30,21,25,15,525,402,352,263,-1.13,0,-,3.84,6,Thiago Seyboth Wild,Brazil,185,78,21,132,106,19,26,13,18,121,100,106,81,-14.53,0,1482,1.27,4
1997846,2021-11-05-03-30,Paris - Masters,atp,round of 16,indoors,1,2.0,-1,Casper Ruud,Norway,183,77,22,8,8,52,14,4,1,267,158,32,25,9.76,0,-,1.35,8,Marcos Giron,USA,180,77,28,57,56,33,23,11,5,348,205,50,35,12.59,0,-,3.50,7
1997878,2021-11-05-00-00,Orlando 3 ITF,wta,round of 16,clay,1,0.0,0,Moyuka Uchijima,Japan,-,-,20,538,357,14,4,2,0,83,64,17,9,2.67,0,-,1.91,6,Maegan Manasse,USA,-,-,26,651,327,7,5,3,0,79,65,18,17,3.69,0,-,1.83,6
1997875,2021-11-05-00-00,Orlando 3 ITF,wta,round of 16,clay,1,2.0,-1,Nefisa Berberovic,Bosnia and Herzeg.,-,-,22,466,448,29,18,22,12,166,84,104,54,3.06,1,-,2.86,7,Ipek Oz,Turkey,-,-,22,296,294,42,22,38,19,165,123,123,85,-1.91,0,-,1.39,7
1997873,2021-11-05-00-00,Orlando 3 ITF,wta,round of 16,clay,2,1.0,-1,Fernanda Contreras Gomez,Mexico,-,-,24,308,274,26,14,16,7,63,35,17,10,1.98,0,-,1.39,5,Portillo Ramirez Maria,Mexico,-,-,22,638,638,35,15,22,10,104,81,41,34,6.65,0,-,2.85,7
1997872,2021-11-05-00-00,Orlando 3 ITF,wta,round of 16,clay,1,0.0,0,Alexandra Kiick,USA,170,62,26,274,126,12,14,8,7,228,159,124,65,-5.11,1,-,1.65,5,Alice Rame,France,-,-,23,379,350,39,26,31,19,209,141,145,95,-6.22,0,-,2.15,6
1997428,2021-11-05-03-35,Nantes ITF,wta,round of 16,indoors,1,1.0,0.14,Anhelina Kalinina,Ukraine,179,70,24,57,57,42,14,4,2,288,145,57,28,5.9,0,-,1.14,5,Erika Andreeva,Russia,-,-,17,416,416,31,12,4,2,50,16,4,2,-1.35,0,-,5.23,7
1997854,2021-11-05-01-50,Nantes ITF,wta,round of 16,indoors,1,0.0,0,Martina Trevisan,Italy,-,-,28,114,66,23,24,2,1,269,150,20,16,-7.02,0,-,1.88,8,Daria Snigur,Ukraine,-,-,19,188,184,27,17,10,4,87,39,15,9,-3.56,0,-,1.85,5
1997856,2021-11-05-00-55,Nantes ITF,wta,round of 16,indoors,2,2.0,0.07,Mallaurie Noel,France,-,-,26,463,463,22,21,9,3,164,152,59,42,-2.15,0,-,7.44,8,Oceane Dodin,France,183,59,25,97,46,34,28,10,8,315,193,150,68,-8.97,1,-,1.07,7
1997564,2021-11-05-02-45,Midland WTA,wta,round of 16,indoors,1,2.0,-1,Caty McNally,USA,167,51,19,145,105,20,19,1,0,95,69,17,5,-5.42,0,-,1.15,5,Elvina Kalieva,USA,-,-,18,421,421,18,14,1,1,55,44,1,1,9.03,0,-,6.36,7
1997543,2021-11-05-02-05,Midland WTA,wta,round of 16,indoors,2,1.0,-1,Conny Perrin,Switzerland,-,-,30,228,134,37,29,2,1,516,383,60,46,5.26,0,-,2.02,5,Francesca Di Lorenzo,USA,170,61,24,218,118,7,20,1,1,147,115,16,7,-11.39,0,-,1.87,3
1997748,2021-11-05-02-10,Buenos Aires WTA,wta,round of 16,clay,2,2.0,0.17,Xiaodi You,China,-,-,25,268,168,3,16,2,5,202,161,20,18,-13.6,1,-,5.83,2,Ekaterine Gorgodze,Georgia,-,-,29,161,144,30,25,26,12,501,351,371,220,-2.35,1,1508,1.17,3
1997877,2021-11-05-04-40,Paris - Masters,atp,round of 16,indoors,2,2.0,0.22,Sebastian Korda,USA,193,75,21,39,38,32,18,9,3,158,101,26,14,6.99,0,-,4.92,5,Daniil Medvedev,Russia,198,83,25,2,2,51,11,6,1,375,163,118,52,1.05,0,-,1.22,9
1997882,2021-11-05-05-10,Bergamo challenger,atp,round of 16,indoors,2,1.0,-1,Rune Holger Vitus,Denmark,185,68,18,118,118,65,25,13,4,110,52,14,6,8.16,0,-,1.19,5,Filip Horansky,Slovakia,191,77,28,197,161,27,29,6,6,446,303,54,65,0.97,0,-,4.88,6
1997571,2021-11-05-04-50,Guayaquil challenger,atp,round of 16,clay,1,1.0,0.25,Martin Etcheverry Tomas,Argentina,196,82,22,131,131,58,25,57,22,218,108,195,92,5.27,0,-,1.25,7,Nicolas Alvarez Varona,Spain,188,80,20,403,403,30,19,23,11,119,80,52,39,3.14,0,-,4.05,6
1997737,2021-11-05-05-05,Nantes ITF,wta,round of 16,indoors,1,0.0,0,Alice Robbe,France,-,-,21,455,455,50,24,9,6,103,83,25,29,0.45,1,-,1.96,7,Audrey Albie,France,-,-,27,433,278,19,18,7,6,222,180,78,58,0.65,0,-,1.79,6
1997561,2021-11-05-07-00,Midland WTA,wta,round of 16,indoors,2,2.0,0.17,Dalayna Hewitt,USA,-,-,20,615,604,41,24,3,0,66,50,7,3,4.43,0,-,5.69,7,Misaki Doi,Japan,159,55,30,98,30,24,29,1,2,384,350,66,39,-3.27,0,-,1.17,7
1997803,2021-11-05-06-45,Paris - Masters,atp,round of 16,indoors,2,2.0,4.89,Carlos Alcaraz,Spain,185,72,18,35,35,43,18,5,2,111,37,5,2,10.49,0,-,1.17,7,Hugo Gaston,France,173,68,21,103,103,43,26,9,6,146,95,33,35,12.03,0,-,5.89,7
1997562,2021-11-05-09-05,Guayaquil challenger,atp,round of 16,clay,1,1.0,0.34,Nicolas Kicker,Argentina,178,75,29,240,78,57,17,43,16,377,235,356,212,5.64,0,1621,1.34,5,Dutra da Silva,Brazil,-,-,33,508,231,37,16,37,16,604,325,545,279,3.69,1,-,3.34,8
1997975,2021-11-05-12-30,UTR Pro Tennis Series,atp,-,hard,2,1.0,-1,Joshua Ryan,Australia,-,-,24,-,-,3,2,3,2,17,25,11,16,10.86,0,-,-,3,Henry Lamchinniah,Australia,-,-,16,-,-,4,7,4,7,5,8,5,8,1.5,0,-,-,4
1997963,2021-11-05-16-00,Antalya 30 ITF,wta,quarterfinal,clay,2,2.0,1.06,Ozlem Uslu,Turkey,-,-,17,951,908,22,12,22,12,29,17,26,15,-3.08,0,-,1.71,8,Lavinia Tanasie,Romania,-,-,18,1190,1170,18,8,18,8,18,8,18,8,11.15,0,-,2.06,6
1997962,2021-11-05-16-00,Antalya 30 ITF,wta,quarterfinal,clay,2,0.0,0,Rachel Gailis,USA,-,-,17,959,959,13,12,6,7,24,21,12,11,0.87,0,-,2.41,6,Julia Riera,Argentina,-,-,19,809,809,37,15,16,7,55,34,34,25,6.91,0,-,1.53,8
