match_id,tour,title,surface,round,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_odds,player1_H2H,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_odds,player2_H2H,player2_elo
1971505,atp,Cincinnati,hard,2. round,2,-1,Lloyd Harris,RSA,193,80,24,46,46,23,17,17,8,304,148,228,83,7.06,3.68,0,1800,Alexander Zverev,Germany,198,90,24,5,3,34,11,16,4,381,207,143,79,5.69,1.33,2,2049
1971745,atp,Cincinnati,hard,2. round,2,-1,Alexander Bublik,Kazakhstan,198,77,24,38,37,28,22,13,10,269,180,116,73,5.27,2.20,2,1793,Grigor Dimitrov,Bulgaria,191,81,30,21,3,14,12,10,6,508,306,207,126,-1.01,1.75,1,1809
1971508,atp,Cincinnati,hard,2. round,2,1.33,Karen Khachanov,Russia,198,87,25,30,8,28,18,15,7,316,217,117,74,-1.55,1.68,1,1894,Felix Auger Aliassime,Canada,193,88,21,17,15,27,17,13,7,214,129,69,50,2.76,2.33,1,1812
1971485,atp,Cincinnati,hard,2. round,2,-1,Dominik Koepfer,Germany,180,79,27,59,50,22,21,8,8,231,151,111,66,-0.95,4.12,0,1705,Pablo Carreno-Busta,Spain,188,78,30,13,10,29,10,10,4,549,291,149,75,7.37,1.28,3,1959
1971503,atp,Cincinnati,hard,2. round,2,-1,Albert Ramos-Vinolas,Spain,188,76,33,49,17,22,21,2,5,683,509,93,102,-0.6,5.87,0,1691,Matteo Berrettini,Italy,196,95,25,8,8,33,7,9,2,284,134,109,51,5.24,1.17,1,1961
1971008,atp,Cincinnati,hard,1. round,2,0.74,Cristian Garin,Chile,185,85,25,20,18,18,14,0,4,332,211,40,39,-4.74,2.22,1,1772,Tommy Paul,USA,185,82,24,56,50,20,17,9,9,291,175,146,95,-3.81,1.74,1,1752
1970289,atp,Cincinnati,hard,1. round,2,1.53,Ugo Humbert,France,188,73,23,29,25,19,17,6,6,225,138,95,46,-1.85,1.59,1,1872,Frances Tiafoe,USA,188,86,23,51,29,25,20,12,10,256,187,113,89,1.33,2.53,2,1789
1971010,atp,Cincinnati,hard,2. round,1,3.29,Benoit Paire,France,196,80,32,50,18,11,25,4,8,541,437,133,124,-7.08,4.29,3,1656,Denis Shapovalov,Canada,185,75,22,10,10,22,17,7,8,228,140,93,58,-6.91,1.26,1,1852
1970284,atp,Cincinnati,hard,1. round,1,0.68,Gael Monfils,France,193,85,34,22,6,7,11,4,4,607,338,224,130,-2.5,1.68,2,1749,Dusan Lajovic,Serbia,183,83,31,41,23,15,21,7,8,507,386,98,82,0.27,2.32,0,1701
1970269,wta,Cincinnati WTA,hard,1. round,1,0.48,Ons Jabeur,Tunis,167,66,26,22,22,38,14,15,8,355,200,124,96,5.17,1.48,2,1941,Anett Kontaveit,Estonia,174,65,25,29,14,19,13,10,8,352,181,138,84,-2.44,2.83,1,1918
1971777,atp,Cincinnati,hard,2. round,1,-1,Lorenzo Sonego,Italy,191,76,26,27,25,24,16,7,7,311,191,45,39,4.43,1.85,1,1777,Tommy Paul,USA,185,82,24,56,50,20,17,9,9,291,175,146,95,-3.81,2.06,2,1752
1971774,wta,Cincinnati WTA,hard,2. round,1,0.5,Belinda Bencic,Switzerland,175,63,24,11,4,25,14,15,6,330,175,156,85,7.14,1.50,4,1916,Shelby Rogers,USA,175,70,28,43,40,20,18,11,8,274,220,149,110,-3.62,2.80,1,1800
1971757,atp,Cincinnati,hard,2. round,2,-1,Marin Cilic,Croatia,198,89,32,39,3,22,15,6,7,653,348,247,136,-1.51,3.94,1,1818,Andrey Rublev,Russia,188,70,23,7,7,38,13,17,6,323,183,117,65,0.68,1.30,5,1995
1971764,atp,Cincinnati,hard,2. round,2,-1,Jannik Sinner,Italy,188,76,20,15,15,30,18,18,8,151,85,45,28,-5.14,1.70,0,1914,John Isner,USA,208,108,36,26,8,22,8,17,5,536,330,328,168,13.31,2.29,1,1882
1971012,wta,Cincinnati WTA,hard,1. round,1,0.71,Jessica Pegula,USA,170,70,27,30,25,32,15,22,8,313,196,167,93,8.93,1.71,4,1896,Camila Giorgi,Italy,168,54,29,71,26,23,13,11,5,389,281,155,120,10.53,2.25,2,1842
