category,id,player1_name,player1_odds,player2_name,player2_odds,score,surface,timestamp,title,winner
WTA,2009-01-22-Baltacha E-Mauresmo A,Baltacha E.,5.36,Mauresmo A.,1.16,1:2,hard,2009-01-22 00:10,WTA Australian Open 2009,2
ATP,2009-01-22-Sela D-Hanescu V,Sela D.,1.71,Hanescu V.,2.08,3:0,hard,2009-01-22 00:10,ATP Australian Open 2009,1
WTA,2009-01-22-Zheng J-Czink M,Zheng J.,1.49,Czink M.,2.57,2:1,hard,2009-01-22 00:10,WTA Australian Open 2009,1
WTA,2009-01-22-Schnyder P-Razzano V,Schnyder P.,1.75,Razzano V.,2.01,0:2,hard,2009-01-22 00:10,WTA Australian Open 2009,2
WTA,2009-01-22-Benesova I-Dementieva E,Benesova I.,8.18,Dementieva E.,1.07,0:2,hard,2009-01-22 00:10,WTA Australian Open 2009,2
WTA,2009-01-22-Dominguez Lino L-Volodko K,Dominguez Lino L.,2.68,Volodko K.,1.45,0:2,hard,2009-01-22 00:10,WTA Australian Open 2009,2
WTA,2009-01-22-Chan L-Cibulkova D,Chan L.,8.5,Cibulkova D.,1.07,0:2,hard,2009-01-22 00:10,WTA Australian Open 2009,2
ATP,2009-01-22-Guccione C-Simon G,Guccione C.,4.37,Simon G.,1.21,1:3,hard,2009-01-22 00:10,ATP Australian Open 2009,2
WTA,2009-01-22-Amanmuradova A-Martinez Sanchez M,Amanmuradova A.,2.06,Martinez Sanchez M. J.,1.73,0:2,hard,2009-01-22 00:10,WTA Australian Open 2009,2
ATP,2009-01-22-Beck A-Melzer J,Beck A.,2.9,Melzer J.,1.4,1:3,hard,2009-01-22 00:10,ATP Australian Open 2009,2
ATP,2009-01-22-Canas G-Gonzalez F,Canas G.,4.34,Gonzalez F.,1.23,0:3,hard,2009-01-22 00:10,ATP Australian Open 2009,2
ATP,2009-01-22-Gasquet R-Istomin D,Gasquet R.,1.1,Istomin D.,6.88,3:0,hard,2009-01-22 00:10,ATP Australian Open 2009,1
WTA,2009-01-22-Wozniacki C-Ruano Pascual V,Wozniacki C.,1.05,Ruano Pascual V.,14.0,2:0,hard,2009-01-22 04:45,WTA Australian Open 2009,1
WTA,2009-01-22-Pironkova T-Bartoli M,Pironkova T.,2.48,Bartoli M.,1.55,0:2,hard,2009-01-22 04:55,WTA Australian Open 2009,2
ATP,2009-01-22-Del Potro J-Mayer F,Del Potro J.,1.04,Mayer F.,11.28,3:0,hard,2009-01-22 08:40,ATP Australian Open 2009,1
WTA,2009-01-22-Dokic J-Chakvetadze A,Dokic J.,2.58,Chakvetadze A.,1.42,2:1,hard,2009-01-22 08:45,WTA Australian Open 2009,1
ATP,2009-01-22-Roddick A-Malisse X,Roddick A.,1.11,Malisse X.,6.96,3:1,hard,2009-01-22 09:00,ATP Australian Open 2009,1
ATP,2009-01-22-Tomic B-Muller G,Tomic B.,4.15,Muller G.,1.23,1:3,hard,2009-01-22 11:20,ATP Australian Open 2009,2
ATP,2009-01-23-Del Potro J-Muller G,Del Potro J.,1.08,Muller G.,8.22,3:1,hard,2009-01-23 00:10,ATP Australian Open 2009,1
WTA,2009-01-23-Safina D-Kanepi K,Safina D.,1.08,Kanepi K.,7.51,2:0,hard,2009-01-23 00:15,WTA Australian Open 2009,1
WTA,2009-01-23-Medina Garrigues A-Coin J,Medina Garrigues A.,1.57,Coin J.,2.33,2:0,hard,2009-01-23 01:35,WTA Australian Open 2009,1
WTA,2009-01-23-Dulko G-Williams S,Dulko G.,11.75,Williams S.,1.06,0:2,hard,2009-01-23 01:50,WTA Australian Open 2009,2
ATP,2009-01-23-Fognini F-Almagro N,Fognini F.,3.55,Almagro N.,1.33,0:3,hard,2009-01-23 02:30,ATP Australian Open 2009,2
ATP,2009-01-23-Haas T-Cipolla F,Haas T.,1.26,Cipolla F.,4.09,3:0,hard,2009-01-23 02:30,ATP Australian Open 2009,1
ATP,2009-01-23-Karlovic I-Ancic M,Karlovic I.,2.3,Ancic M.,1.63,2:3,hard,2009-01-23 02:50,ATP Australian Open 2009,2
WTA,2009-01-23-Moore J-Pennetta F,Moore J.,9.2,Pennetta F.,1.08,0:2,hard,2009-01-23 02:50,WTA Australian Open 2009,2
ATP,2009-01-23-Stepanek R-Berrer M,Stepanek R.,1.13,Berrer M.,5.86,3:1,hard,2009-01-23 02:50,ATP Australian Open 2009,1
ATP,2009-01-23-Clement A-Verdasco F,Clement A.,6.19,Verdasco F.,1.11,0:3,hard,2009-01-23 03:00,ATP Australian Open 2009,2
ATP,2009-01-23-Nadal R-Karanusic R,Nadal R.,1.01,Karanusic R.,41.67,3:0,hard,2009-01-23 03:00,ATP Australian Open 2009,1
ATP,2009-01-23-Monfils G-Koubek S,Monfils G.,1.16,Koubek S.,5.14,3:1,hard,2009-01-23 04:00,ATP Australian Open 2009,1
WTA,2009-01-23-Beltrame S-Bondarenko A,Beltrame S.,2.88,Bondarenko A.,1.42,1:2,hard,2009-01-23 04:20,WTA Australian Open 2009,2
WTA,2009-01-23-Kuznetsova S-Maria T,Kuznetsova S.,1.1,Maria T.,7.5,2:0,hard,2009-01-23 04:20,WTA Australian Open 2009,1
WTA,2009-01-23-Lisicki S-Stosur S,Lisicki S.,2.04,Stosur S.,1.78,0:2,hard,2009-01-23 05:00,WTA Australian Open 2009,2
ATP,2009-01-23-Ljubicic I-Tsonga J-W,Ljubicic I.,5.5,Tsonga J-W.,1.15,1:3,hard,2009-01-23 06:30,ATP Australian Open 2009,2
WTA,2009-01-23-Peng S-Karatantcheva S,Peng S.,1.54,Karatantcheva S.,2.56,2:0,hard,2009-01-23 06:40,WTA Australian Open 2009,1
ATP,2009-01-23-Gulbis E-Andreev I,Gulbis E.,1.67,Andreev I.,2.24,2:3,hard,2009-01-23 07:50,ATP Australian Open 2009,2
ATP,2009-01-23-Blake J-De Chaunac S,Blake J.,1.06,De Chaunac S.,9.75,3:0,hard,2009-01-23 08:40,ATP Australian Open 2009,1
WTA,2009-01-23-Williams V-Suarez Navarro C,Williams V.,1.02,Suarez Navarro C.,15.4,1:2,hard,2009-01-23 09:15,WTA Australian Open 2009,2
ATP,2009-01-23-Murray A-Granollers M,Murray A.,1.01,Granollers M.,21.3,3:0,hard,2009-01-23 09:45,ATP Australian Open 2009,1
WTA,2009-01-24-Medina Garrigues A-Pennetta F,Medina Garrigues A.,2.67,Pennetta F.,1.46,2:0,hard,2009-01-24 00:10,WTA Australian Open 2009,1
WTA,2009-01-24-Suarez Navarro C-Martinez Sanchez M,Suarez Navarro C.,1.36,Martinez Sanchez M. J.,3.08,2:0,hard,2009-01-24 00:10,WTA Australian Open 2009,1
WTA,2009-01-24-Peng S-Williams S,Peng S.,9.13,Williams S.,1.06,0:2,hard,2009-01-24 00:15,WTA Australian Open 2009,2
ATP,2009-01-24-Monfils G-Almagro N,Monfils G.,1.2,Almagro N.,4.61,3:0,hard,2009-01-24 00:15,ATP Australian Open 2009,1
ATP,2009-01-24-Cilic M-Ferrer D,Cilic M.,1.59,Ferrer D.,2.31,3:0,hard,2009-01-24 01:15,ATP Australian Open 2009,1
ATP,2009-01-24-Delic A-Djokovic N,Delic A.,14.63,Djokovic N.,1.03,1:3,hard,2009-01-24 01:40,ATP Australian Open 2009,2
WTA,2009-01-24-Errani S-Zvonareva V,Errani S.,5.8,Zvonareva V.,1.14,0:2,hard,2009-01-24 02:25,WTA Australian Open 2009,2
WTA,2009-01-24-Safarova L-Bartoli M,Safarova L.,2.55,Bartoli M.,1.52,1:2,hard,2009-01-24 03:45,WTA Australian Open 2009,2
WTA,2009-01-24-Hantuchova D-Cornet A,Hantuchova D.,2.51,Cornet A.,1.43,1:2,hard,2009-01-24 04:00,WTA Australian Open 2009,2
ATP,2009-01-24-Robredo T-Lu Y,Robredo T.,1.3,Lu Y.H.,3.65,3:0,hard,2009-01-24 04:00,ATP Australian Open 2009,1
WTA,2009-01-24-Jankovic J-Sugiyama A,Jankovic J.,1.08,Sugiyama A.,9.1,2:0,hard,2009-01-24 05:10,WTA Australian Open 2009,1
ATP,2009-01-24-Roddick A-Santoro F,Roddick A.,1.06,Santoro F.,10.5,3:0,hard,2009-01-24 06:20,ATP Australian Open 2009,1
ATP,2009-01-24-Wawrinka S-Berdych T,Wawrinka S.,2.28,Berdych T.,1.6,1:3,hard,2009-01-24 08:40,ATP Australian Open 2009,2
WTA,2009-01-24-Wozniacki C-Dokic J,Wozniacki C.,1.21,Dokic J.,4.2,1:2,hard,2009-01-24 08:45,WTA Australian Open 2009,2
WTA,2009-01-24-Kleybanova A-Ivanovic A,Kleybanova A.,4.48,Ivanovic A.,1.18,2:1,hard,2009-01-24 08:55,WTA Australian Open 2009,1
ATP,2009-01-24-Safin M-Federer R,Safin M.,8.18,Federer R.,1.07,0:3,hard,2009-01-24 10:50,ATP Australian Open 2009,2
ATP,2009-01-24-Baghdatis M-Fish M,Baghdatis M.,1.54,Fish M.,2.44,3:0,hard,2009-01-24 12:00,ATP Australian Open 2009,1
ATP,2009-01-25-Del Potro J-Cilic M,Del Potro J.,1.44,Cilic M.,2.74,3:1,hard,2009-01-25 00:10,ATP Australian Open 2009,1
WTA,2009-01-25-Jankovic J-Bartoli M,Jankovic J.,1.22,Bartoli M.,4.2,0:2,hard,2009-01-25 00:15,WTA Australian Open 2009,2
ATP,2009-01-25-Ancic M-Simon G,Ancic M.,2.53,Simon G.,1.51,0:3,hard,2009-01-25 01:50,ATP Australian Open 2009,2
WTA,2009-01-25-Zheng J-Volodko K,Zheng J.,1.52,Volodko K.,2.57,2:0,hard,2009-01-25 02:00,WTA Australian Open 2009,1
WTA,2009-01-25-Azarenka V-Mauresmo A,Azarenka V.,1.28,Mauresmo A.,3.85,2:0,hard,2009-01-25 02:00,WTA Australian Open 2009,1
WTA,2009-01-25-Kuznetsova S-Bondarenko A,Kuznetsova S.,1.25,Bondarenko A.,4.01,2:0,hard,2009-01-25 02:45,WTA Australian Open 2009,1
ATP,2009-01-25-Stepanek R-Verdasco F,Stepanek R.,2.52,Verdasco F.,1.55,0:3,hard,2009-01-25 03:35,ATP Australian Open 2009,2
ATP,2009-01-25-Sela D-Tsonga J-W,Sela D.,6.4,Tsonga J-W.,1.11,1:3,hard,2009-01-25 03:45,ATP Australian Open 2009,2
WTA,2009-01-25-Razzano V-Cibulkova D,Razzano V.,4.68,Cibulkova D.,1.19,0:2,hard,2009-01-25 04:40,WTA Australian Open 2009,2
ATP,2009-01-25-Blake J-Andreev I,Blake J.,1.38,Andreev I.,2.68,3:1,hard,2009-01-25 05:15,ATP Australian Open 2009,1
ATP,2009-01-25-Gasquet R-Gonzalez F,Gasquet R.,2.17,Gonzalez F.,1.65,2:3,hard,2009-01-25 08:40,ATP Australian Open 2009,2
WTA,2009-01-25-Stosur S-Dementieva E,Stosur S.,6.75,Dementieva E.,1.1,0:2,hard,2009-01-25 08:40,WTA Australian Open 2009,2
ATP,2009-01-25-Murray A-Melzer J,Murray A.,1.05,Melzer J.,10.88,3:0,hard,2009-01-25 08:45,ATP Australian Open 2009,1
ATP,2009-01-25-Nadal R-Haas T,Nadal R.,1.06,Haas T.,9.95,3:0,hard,2009-01-25 10:50,ATP Australian Open 2009,1
WTA,2009-01-26-Suarez Navarro C-Medina Garrigues A,Suarez Navarro C.,1.83,Medina Garrigues A.,1.91,2:0,hard,2009-01-26 00:15,WTA Australian Open 2009,1
WTA,2009-01-26-Cibulkova D-Dementieva E,Cibulkova D.,3.42,Dementieva E.,1.32,0:2,hard,2009-01-26 01:50,WTA Australian Open 2009,2
WTA,2009-01-26-Safina D-Cornet A,Safina D.,1.18,Cornet A.,5.03,2:1,hard,2009-01-26 02:00,WTA Australian Open 2009,1
WTA,2009-01-26-Petrova N-Zvonareva V,Petrova N.,2.62,Zvonareva V.,1.5,0:2,hard,2009-01-26 03:40,WTA Australian Open 2009,2
ATP,2009-01-26-Berdych T-Federer R,Berdych T.,10.31,Federer R.,1.07,2:3,hard,2009-01-26 04:25,ATP Australian Open 2009,2
ATP,2009-01-26-Murray A-Verdasco F,Murray A.,1.11,Verdasco F.,6.43,2:3,hard,2009-01-26 04:50,ATP Australian Open 2009,2
ATP,2009-01-26-Nadal R-Gonzalez F,Nadal R.,1.08,Gonzalez F.,8.53,3:0,hard,2009-01-26 04:55,ATP Australian Open 2009,1
ATP,2009-01-26-Roddick A-Robredo T,Roddick A.,1.19,Robredo T.,4.87,3:0,hard,2009-01-26 05:40,ATP Australian Open 2009,1
