match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2051634,2022-03-12-04-00,Indian Wells,wta,2. round,hard,2,2,0.61,Ajla Tomljanovic,Australia,180,67,28,39,38,5,6,5,6,354,271,192,150,-2.79,2,1770,2.49,4,Sorana-Mihaela Cirstea,Romania,176,59,31,27,21,9,6,5,4,497,372,224,170,1.95,0,,1.61,6
2051604,2022-03-12-04-00,Indian Wells,wta,2. round,hard,1,1,0.22,Simona Halep,Romania,168,60,30,26,1,11,3,11,3,564,232,251,110,-0.15,2,1984,1.22,7,Ekaterina Alexandrova,Russia,180,66,27,52,25,3,4,2,3,384,224,67,54,-1.62,2,1796,4.88,4
2051590,2022-03-12-04-00,Indian Wells,wta,2. round,hard,1,1,0.81,Petra Martic,Croatia,181,63,31,79,14,3,4,2,3,391,279,143,122,2.2,2,1718,1.81,4,Tamara Zidansek,Slovenia,167,80,24,22,22,5,2,5,2,271,124,65,50,0.61,0,1749,2.11,5
2051832,2022-03-12-07-55,Indian Wells,wta,2. round,hard,2,1,-1.0,Alize Cornet,France,173,60,32,34,11,5,6,5,4,532,416,210,173,6.74,0,1795,1.83,5,Anna Kalinskaya,Russia,175,68,23,90,86,8,5,7,4,215,128,107,50,1.4,0,1760,2.1,6
2051608,2022-03-12-07-45,Indian Wells,wta,2. round,hard,1,1,2.96,Alison Riske,USA,175,66,31,53,18,5,5,5,5,400,321,206,182,-0.04,2,1775,3.96,6,Garbine Muguruza,Spain,182,73,28,9,1,5,4,5,4,462,234,239,115,-1.55,2,1988,1.3,6
2051836,2022-03-12-06-25,Indian Wells,wta,2. round,hard,2,2,0.44,Beatriz Haddad Maia,Brazil,185,78,25,61,58,9,5,9,5,369,182,165,71,1.56,0,1669,3.02,7,Clara Tauson,Denmark,,,19,40,33,6,4,6,4,145,46,53,14,2.21,0,1914,1.44,6
2051690,2022-03-12-06-20,Indian Wells,wta,2. round,hard,1,2,-1.0,Emma Raducanu,Great Britain,,,19,13,12,1,3,1,3,94,32,55,14,-0.93,0,1817,1.9,4,Caroline Garcia,France,177,61,28,66,4,6,6,3,5,386,304,175,149,12.87,0,1726,2.01,5
2051834,2022-03-12-06-00,Indian Wells,wta,2. round,hard,1,2,-1.0,Ludmilla Samsonova,Russia,180,67,23,32,32,4,5,4,5,250,149,64,41,-2.81,0,,1.83,4,Ann Li,USA,160,50,21,64,44,5,5,5,5,143,87,97,57,-1.23,0,1789,2.09,5
2051688,2022-03-12-04-10,Indian Wells,wta,2. round,hard,1,1,2.63,Danka Kovinic,Montenegro,169,67,27,71,46,5,4,5,3,361,265,107,114,5.69,0,1597,3.63,5,Karolina Pliskova,Czech Republic,186,72,29,8,1,37,19,23,12,615,332,292,148,0.0,0,1981,1.34,7
2051644,2022-03-12-04-10,Indian Wells,wta,2. round,hard,1,1,0.18,Iga Swiatek,Poland,176,65,20,4,4,14,3,14,3,174,51,63,26,4.51,0,2068,1.18,8,Anhelina Kalinina,Ukraine,179,70,25,50,48,2,3,2,3,295,149,71,53,-0.32,0,1709,5.77,6
2051662,2022-03-12-09-00,Indian Wells,wta,2. round,hard,2,2,3.39,Elina Svitolina,Ukraine,174,60,27,18,3,5,6,5,6,462,237,264,119,-4.08,0,1898,1.26,5,Harriet Dart,Great Britain,172,58,25,122,120,10,6,10,5,271,193,159,103,3.41,0,1633,4.39,5
2051888,2022-03-12-08-35,Indian Wells,wta,2. round,hard,1,1,0.21,Darya Kasatkina,Russia,170,62,24,28,10,10,5,10,5,275,152,114,81,1.93,0,,1.21,6,Katie Volynets,USA,,,20,158,154,9,5,7,4,104,71,61,42,1.26,0,1505,4.99,6
2051620,2022-03-12-13-05,Indian Wells,wta,2. round,hard,1,1,0.16,Madison Keys,USA,178,66,27,29,7,11,4,11,4,319,177,195,111,5.09,5,1919,1.16,7,Misaki Doi,Japan,159,55,30,95,30,5,5,5,5,390,356,224,218,1.16,2,1646,6.1,5
2051592,2022-03-12-11-35,Indian Wells,wta,2. round,hard,1,1,1.22,Kaia Kanepi,Estonia,181,74,36,63,15,6,2,6,2,545,312,187,134,4.62,0,1809,2.22,7,Belinda Bencic,Switzerland,175,63,25,25,4,5,4,3,3,347,186,166,92,-1.58,1,1922,1.74,5
2051618,2022-03-12-11-05,Indian Wells,wta,2. round,hard,2,2,0.17,Claire Liu,USA,,,21,87,87,7,5,7,5,176,111,99,73,-0.49,0,1631,5.79,5,Cori Gauff,USA,176,59,17,17,16,7,5,7,5,93,48,43,28,-0.36,0,1906,1.17,6
2051646,2022-03-12-13-10,Indian Wells,wta,2. round,hard,2,1,-1.0,Qinwen Zheng,China,,,19,74,74,16,4,16,4,116,43,52,24,4.04,0,1783,1.87,7,Angelique Kerber,Germany,173,68,34,16,1,0,2,0,2,688,363,355,178,-1.0,0,1901,2.04,5
2047902,2022-03-06-01-20,Lyon WTA,wta,semifinal,indoors,1,1,0.76,Dayana Yastremska,Ukraine,175,67,21,140,21,10,4,3,0,166,101,20,15,8.34,0,,1.76,8,Sorana-Mihaela Cirstea,Romania,176,59,31,30,21,9,5,4,1,497,371,50,50,2.95,0,,2.2,7
2048146,2022-03-06-10-30,Monterrey,wta,semifinal,hard,2,1,-1.0,Beatriz Haddad Maia,Brazil,185,78,25,69,58,8,4,8,4,368,181,164,70,1.55,0,1650,3.11,7,Annie Fernandez Leylah,Canada,158,48,19,21,19,4,2,4,2,115,71,74,39,1.05,0,1867,1.42,6
2047054,2022-03-05-04-00,Lyon WTA,wta,quarterfinal,indoors,2,2,0.23,Anna Bondar,Hungary,,,24,79,79,6,5,2,1,311,149,11,12,1.03,0,,4.75,5,Sorana-Mihaela Cirstea,Romania,176,59,31,30,21,8,5,3,1,496,371,49,50,2.73,1,,1.23,7
2047388,2022-03-05-01-35,Lyon WTA,wta,quarterfinal,indoors,1,1,1.95,Caroline Garcia,France,177,61,28,74,4,4,5,2,0,384,303,57,50,10.98,1,,2.95,5,Alison Van Uytvanck,Belgium,173,63,27,55,37,5,5,2,1,363,245,133,52,-2.07,1,,1.46,5
2047448,2022-03-05-13-05,Monterrey,wta,quarterfinal,hard,2,2,2.26,Elina Svitolina,Ukraine,174,60,27,15,3,5,5,5,5,462,236,264,118,-3.08,0,1912,1.39,5,Osorio Serrano Maria,Colombia,,,20,44,44,4,2,4,2,130,64,44,27,0.89,1,,3.26,7
